Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,93.360001,95.550003,86.120003,88.949997,74.631264,209716200
2016-08-01,88.080002,88.940002,85.580002,87.139999,73.112617,235412300
2016-09-01,86.720001,89.370003,82.290001,87.279999,73.854568,271447100
2016-10-01,86.940002,88.669998,82.989998,83.320000,70.503670,192041100
2016-11-01,83.500000,88.190002,82.760002,87.300003,73.871475,233089000
2016-12-01,87.980003,93.220001,86.599998,90.260002,77.052467,220435500
2017-01-01,90.940002,91.339996,83.129997,83.889999,71.614571,252514500
2017-02-01,84.000000,84.160004,80.760002,81.320000,69.420639,237345100
2017-03-01,81.699997,84.250000,80.309998,82.010002,70.649849,315475000
2017-04-01,82.019997,83.550003,80.300003,81.650002,70.339722,192624700
2017-05-01,81.510002,83.230003,80.470001,80.500000,69.349030,220122400
2017-06-01,80.370003,83.690002,79.260002,80.730003,70.203911,303836700
2017-07-01,80.790001,82.489998,78.269997,80.040001,69.603882,201333900
2017-08-01,80.160004,80.820000,76.050003,76.330002,66.377617,224413200
2017-09-01,76.370003,82.449997,76.320000,81.980003,71.981941,216249200
2017-10-01,81.300003,84.239998,81.250000,83.349998,73.184860,172408300
2017-11-01,83.389999,84.139999,80.010002,83.290001,73.132179,191810600
2017-12-01,83.440002,84.360001,82.169998,83.639999,74.119148,220601300
2018-01-01,83.820000,89.300003,83.660004,87.300003,77.362541,233944600
2018-02-01,87.500000,89.250000,73.900002,75.739998,67.118423,369414700
2018-03-01,75.529999,76.980003,72.669998,74.610001,66.793144,356741300
2018-04-01,74.269997,80.900002,72.160004,77.750000,69.604172,285826800
2018-05-01,77.260002,82.650002,75.400002,81.239998,72.728516,299337700
2018-06-01,81.870003,83.790001,79.300003,82.730003,74.813118,257136500
2018-07-01,81.889999,84.400002,80.709999,81.510002,73.709869,204469200
2018-08-01,80.889999,81.589996,76.510002,80.169998,72.498085,215072500
2018-09-01,80.410004,87.360001,79.599998,85.019997,77.676987,227023600
2018-10-01,85.349998,86.889999,76.220001,79.680000,72.798195,305909200
2018-11-01,79.830002,83.750000,74.699997,79.500000,72.633743,287081300
2018-12-01,80.239998,81.949997,64.650002,68.190002,62.932121,380647000
2019-01-01,67.349998,73.489998,67.260002,73.279999,67.629639,269226500
2019-02-01,74.919998,79.750000,72.730003,79.029999,72.936279,245067300
2019-03-01,79.379997,82.000000,77.860001,80.800003,75.397690,272454400
2019-04-01,81.230003,83.489998,79.559998,80.279999,74.912453,219523400
2019-05-01,79.940002,80.260002,70.629997,70.769997,66.038292,250094000
2019-06-01,71.089996,77.760002,70.970001,76.629997,72.326134,218953600
2019-07-01,77.129997,77.930000,74.180000,74.360001,70.183624,186916600
2019-08-01,73.739998,74.269997,66.529999,68.480003,64.633873,276725600
2019-09-01,67.889999,75.180000,67.629997,70.610001,67.472893,215355500
2019-10-01,70.830002,70.910004,66.309998,67.570000,64.567955,237608200
2019-11-01,68.389999,73.120003,67.320000,68.129997,65.103073,249330100
2019-12-01,68.500000,70.540001,67.519997,69.779999,67.483917,286029400
